RunID,Sample,Operator,Replicate,Measurement
1,Sample 1,Operator A,1,0.83922
2,Sample 1,Operator A,2,0.83756
3,Sample 1,Operator A,3,0.84578
4,Sample 1,Operator B,1,0.83836
5,Sample 1,Operator B,2,0.83766
6,Sample 1,Operator B,3,0.83176
7,Sample 2,Operator A,1,0.71026
8,Sample 2,Operator A,2,0.7222
9,Sample 2,Operator A,3,0.71023
10,Sample 2,Operator B,1,0.70797
11,Sample 2,Operator B,2,0.70469
12,Sample 2,Operator B,3,0.7036
13,Sample 3,Operator A,1,0.79284
14,Sample 3,Operator A,2,0.80096
15,Sample 3,Operator A,3,0.79917
16,Sample 3,Operator B,1,0.78996
17,Sample 3,Operator B,2,0.80746
18,Sample 3,Operator B,3,0.78959
